Region,Year,MT,Reduction
World,2000,25700,
World,2001,26001,
World,2002,26459,
World,2003,27707,
World,2004,29005,
World,2005,30051,
World,2006,31081,
World,2007,32319,
World,2008,32475,
World,2009,32091,
World,2010,33971,
World,2011,35035,
World,2012,35487,
World,2013,35906,
World,2014,36244,
World,2015,36247,
World,2016,36300,36300
World,2017,36795,34719
World,2018,37668,33138
World,2019,38017,31558
World,2020,,29977
World,2021,,28396
World,2022,,26815
World,2023,,25234
World,2024,,23653
World,2025,,22073
World,2026,,20492
World,2027,,18911
World,2028,,17330
World,2029,,15749
World,2030,,14168
Europe,2000,4121,
Europe,2001,4186,
Europe,2002,4161,
Europe,2003,4268,
Europe,2004,4273,
Europe,2005,4249,
Europe,2006,4266,
Europe,2007,4219,
Europe,2008,4123,
Europe,2009,3793,
Europe,2010,3921,
Europe,2011,3766,
Europe,2012,3722,
Europe,2013,3631,
Europe,2014,3450,
Europe,2015,3492,
Europe,2016,3475,3475
Europe,2017,3488,3407
Europe,2018,3435,3339
Europe,2019,3304,3271
Europe,2020,,3203
Europe,2021,,3135
Europe,2022,,3067
Europe,2023,,2999
Europe,2024,,2931
Europe,2025,,2863
Europe,2026,,2795
Europe,2027,,2727
Europe,2028,,2659
Europe,2029,,2591
Europe,2030,,2523
Spain,2000,312,
Spain,2001,312,
Spain,2002,330,
Spain,2003,337,
Spain,2004,354,
Spain,2005,369,
Spain,2006,360,
Spain,2007,373,
Spain,2008,341,
Spain,2009,302,
Spain,2010,288,
Spain,2011,290,
Spain,2012,285,
Spain,2013,257,
Spain,2014,256,
Spain,2015,271,
Spain,2016,262,262
Spain,2017,278,254
Spain,2018,272,246
Spain,2019,259,238
Spain,2020,,230
Spain,2021,,223
Spain,2022,,215
Spain,2023,,207
Spain,2024,,199
Spain,2025,,191
Spain,2026,,183
Spain,2027,,175
Spain,2028,,167
Spain,2029,,159
Spain,2030,,152
Catalonia,2000,54,
Catalonia,2001,52,
Catalonia,2002,50,
Catalonia,2003,54,
Catalonia,2004,56,
Catalonia,2005,58,
Catalonia,2006,56,
Catalonia,2007,57,
Catalonia,2008,53,
Catalonia,2009,45,
Catalonia,2010,49,
Catalonia,2011,47,
Catalonia,2012,44,
Catalonia,2013,41,
Catalonia,2014,41,
Catalonia,2015,42,
Catalonia,2016,43,43
Catalonia,2017,44,42
Catalonia,2018,44,41
Catalonia,2019,44,40
Catalonia,2020,,38
Catalonia,2021,,37
Catalonia,2022,,36
Catalonia,2023,,35
Catalonia,2024,,34
Catalonia,2025,,33
Catalonia,2026,,32
Catalonia,2027,,30
Catalonia,2028,,29
Catalonia,2029,,28
Catalonia,2030,,27